not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 51
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 51
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 51
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 51
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 51
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 51
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 51
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 51
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 51
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
not enough values to unpack (expected 2, got 1):<class 'ValueError'>, main.py, 48
